date,steps,distance,runDistance,calories
2018-09-17,10357,7712,1602,303
2018-09-18,10599,7997,1414,318
2018-09-19,5894,4290,369,160
2018-09-20,5586,4042,445,157
2018-09-21,7369,5327,473,198
2018-09-22,6628,4893,415,189
2018-09-23,6349,4551,402,168
2018-09-24,4898,3461,338,125
2018-09-25,4816,3573,417,136
2018-09-26,5202,3713,454,138
2018-09-27,5412,3893,484,152
2018-09-28,6857,4985,336,185
2018-09-29,4806,3505,501,137
2018-09-30,5969,4479,484,175
2018-10-01,2040,1379,222,57
2018-10-02,5003,3508,593,139
2018-10-03,6056,4417,547,167
2018-10-04,6722,5055,499,196
2018-10-05,9437,7118,560,272
2018-10-06,7777,5829,487,220
2018-10-07,10430,7632,509,279
2018-10-08,8302,6110,674,235
2018-10-09,12848,9695,2267,396
2018-10-10,7536,5673,1057,235
2018-10-11,8775,6669,1219,267
2018-10-12,8727,6511,473,234
2018-10-13,6439,4713,723,179
2018-10-14,8366,6068,405,219
2018-10-15,13241,9812,1679,381
2018-10-16,13323,10005,1756,397
2018-10-17,9392,7161,417,276
2018-10-18,9692,7078,837,261
2018-10-19,8001,5935,582,230
2018-10-20,9025,6625,982,248
2018-10-21,10922,7956,524,289
2018-10-22,12525,9568,2344,398
2018-10-23,9093,6603,693,245
2018-10-24,5796,4284,348,168
2018-10-25,8954,6541,749,245
2018-10-26,7371,5467,605,203
2018-10-27,4823,3479,503,136
2018-10-28,7760,5772,219,214
2018-10-29,12048,8826,855,329
2018-10-30,18045,13566,3214,541
2018-10-31,7534,5495,525,207
2018-11-01,4519,3402,318,131
2018-11-02,6471,4816,474,189
2018-11-03,7292,5366,746,212
2018-11-04,6622,4950,458,187
2018-11-05,11299,8705,2346,374
2018-11-06,11859,8934,2156,372
2018-11-07,8338,6097,909,236
2018-11-08,9325,6959,1062,274
2018-11-09,8069,5837,596,216
2018-11-10,8741,6246,621,228
2018-11-11,13470,9830,399,360
2018-11-12,7347,5417,414,203
2018-11-13,8225,6058,735,227
2018-11-14,7952,5731,442,208
2018-11-15,8312,6049,326,224
2018-11-16,11421,8494,739,324
2018-11-17,6371,4768,396,182
2018-11-18,5203,3725,347,132
2018-11-23,4606,3341,304,124
2018-11-24,1896,1266,175,50
2018-11-25,8928,6559,428,241
2018-11-26,10426,7462,682,269
2018-11-27,7043,5070,793,189
2018-11-28,6638,4795,513,181
2018-11-29,8700,6298,513,226
2018-11-30,9424,7001,1025,258
2018-12-01,4798,3558,1005,145
2018-12-02,10435,7841,742,293
2018-12-03,12110,9059,1172,339
2018-12-04,12707,9593,1847,377
2018-12-05,6980,5084,662,186
2018-12-06,7090,5312,905,215
2018-12-07,5725,4227,670,161
2018-12-08,6634,4897,993,193
2018-12-09,9032,6755,849,259
2018-12-10,13584,10155,1903,406
2018-12-11,11954,8752,1623,336
2018-12-12,8531,6234,1224,246
2018-12-13,8586,6240,807,234
2018-12-14,12613,9538,873,369
2018-12-15,6149,4465,1024,174
2018-12-16,10046,7384,593,280
2018-12-17,11475,8415,1430,321
2018-12-18,9365,7035,721,270
2018-12-19,9165,6748,632,250
2018-12-20,9122,6541,732,236
2018-12-21,6680,4837,895,189
2018-12-22,9577,6911,855,258
2018-12-23,9177,6969,344,265
2018-12-24,5070,3830,286,146
2018-12-25,5151,3757,713,146
2018-12-26,6448,4802,737,192
2018-12-27,5916,4477,913,187
2018-12-28,7613,5669,893,224
2018-12-29,9573,7200,1171,286
2018-12-30,1228,817,182,33
2018-12-31,5797,4246,126,154
2019-01-01,9879,7221,652,266
2019-01-02,6795,5147,1238,212
2019-01-03,6576,4811,964,192
2019-01-04,7945,6068,1337,252
2019-01-05,6276,4624,764,177
2019-01-06,7212,5270,601,200
2019-01-07,12074,8920,1349,337
2019-01-08,10874,8047,1150,305
2019-01-09,7970,5806,1146,218
2019-01-10,6678,5012,484,199
2019-01-11,7400,5363,535,196
2019-01-12,6779,4918,1208,194
2019-01-13,9143,6730,736,252
2019-01-14,6294,4710,699,183
2019-01-15,5805,4225,805,169
2019-01-16,6343,4689,791,185
2019-01-17,6371,4782,692,189
2019-01-18,6894,5071,1097,199
2019-01-19,6026,4544,1086,185
2019-01-20,5742,4222,671,166
2019-01-21,7014,5141,1152,208
2019-01-22,7057,5236,1177,209
2019-01-23,6724,5057,993,199
2019-01-24,7336,5361,1078,209
2019-01-25,9514,7049,969,271
2019-01-26,9693,7376,1006,288
2019-01-27,8464,6172,691,220
2019-01-28,5666,4161,953,169
2019-01-29,6995,5177,887,199
2019-01-30,6711,4893,1134,193
2019-01-31,8669,6502,906,254
2019-02-01,2625,1800,235,67
2019-02-02,2425,1714,168,68
2019-02-03,3188,2429,517,105
2019-02-04,9304,7147,289,277
2019-02-05,20721,15677,406,577
2019-02-06,5455,4192,183,172
2019-02-07,21,14,0,1
2019-02-09,0,0,0,0
2019-02-10,4666,3449,570,140
2019-02-11,6725,5040,847,193
2019-02-12,7162,5281,578,199
2019-02-13,5281,3946,940,161
2019-02-14,6180,4660,381,184
2019-02-15,6459,4801,406,181
2019-02-16,5114,3726,360,137
2019-02-17,5813,4408,623,174
2019-02-18,4149,3058,452,118
2019-02-19,0,0,0,0
2019-02-20,4036,3052,551,125
2019-02-21,7558,5548,712,210
2019-02-22,7757,5722,873,225
2019-02-23,8890,6555,669,244
2019-02-24,12236,9300,790,354
2019-02-25,13526,10059,1053,381
2019-02-26,7694,5801,787,231
2019-02-27,4713,3504,402,133
2019-02-28,8596,6478,443,246
2019-03-01,9147,6691,836,256
2019-03-02,10021,7405,953,281
2019-03-03,12370,9029,824,328
2019-03-04,11371,8459,1611,326
2019-03-05,10145,7588,1147,296
2019-03-06,7344,5387,635,206
2019-03-07,8230,6069,545,233
2019-03-08,6473,4896,941,199
2019-03-09,8964,6641,827,248
2019-03-10,4939,3643,176,130
2019-03-11,11450,8485,1093,326
2019-03-12,5482,4111,432,158
2019-03-13,66,44,0,1
2019-03-14,5228,3824,358,143
2019-03-15,8734,6490,745,243
2019-03-16,8149,6118,206,228
2019-03-17,8464,6274,428,236
2019-03-18,9720,7145,990,270
2019-03-19,9325,6896,417,255
2019-03-20,5622,4206,537,162
2019-03-21,5173,3811,444,150
2019-03-22,6400,4689,881,186
2019-03-23,5039,3750,469,143
2019-03-24,6154,4459,293,166
2019-03-25,8230,5968,537,222
2019-03-26,6576,4864,502,188
2019-03-27,6060,4445,433,170
2019-03-28,7216,5268,515,200
2019-03-29,5045,3649,395,133
2019-03-30,5489,4092,546,158
2019-03-31,8348,6094,655,231
2019-04-01,12521,9037,680,324
2019-04-02,8241,6171,639,237
2019-04-03,5012,3602,381,139
2019-04-04,5995,4486,360,164
2019-04-05,6894,5141,219,182
2019-04-06,3293,2371,295,89
2019-04-07,5953,4299,379,159
2019-04-08,9375,6842,628,248
2019-04-09,6393,4710,431,180
2019-04-10,6252,4534,504,165
2019-04-11,7821,5706,415,215
2019-04-12,5508,4055,385,154
2019-04-13,5945,4469,629,181
2019-04-14,6522,4777,564,178
2019-04-15,8356,6150,505,223
2019-04-16,7474,5443,616,205
2019-04-17,5709,4108,597,151
2019-04-18,8050,5863,634,216
2019-04-19,7694,5748,367,215
2019-04-20,9792,7283,635,271
2019-04-21,8125,6155,468,230
